Wavelength. µm	n	k
12.23	14.6	83.21
12.46	15.12	84.67
12.71	15.67	86.18
12.96	16.25	87.74
13.23	16.87	89.36
13.5	17.52	91.03
13.79	18.2	92.77
14.09	18.93	94.57
14.4	19.7	96.43
14.73	20.51	98.37
15.07	21.37	100.4
15.43	22.29	102.5
15.81	23.27	104.6
16.2	24.31	106.9
16.62	25.41	109.3
17.05	26.59	111.7
17.51	27.85	114.3
18	29.2	116.9
18.52	30.65	119.7
19.06	32.2	122.6
19.64	33.86	125.6
20.25	35.65	128.8
20.9	37.57	132.1
21.6	39.65	135.6
22.35	41.89	139.3
23.14	44.31	143.1
24	46.94	147.1
24.92	49.79	151.4
